LAST UPDATED,FREQUENCY,PERIOD BEGIN,PERIOD END,REGION TYPE,REGION NAME,HOMES SOLD,HOMES SOLD YOY ,MEDIAN SALE PRICE ,MEDIAN SALE PRICE YOY ,MEDIAN DAYS ON MARKET _DAYS_,MEDIAN DAYS ON MARKET YOY ,NEW LISTINGS,NEW LISTINGS YOY ,ACTIVE LISTINGS,ACTIVE LISTINGS YOY ,PENDING SALES,PENDING SALES YOY 
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Buckingham, IL",1,0,282000,77.36,204,14400,1,NA,2,100,1,NA
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Sadorus, IL",1,0,185900,118.71,194,17500,1,-50,2,0,1,-50
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Schram City, IL",1,NA,55000,NA,0,NA,1,NA,1,NA,1,NA
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Humboldt, IL",1,NA,125600,NA,169,NA,1,NA,3,NA,1,NA
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Kane, IL",1,NA,32000,NA,9,NA,1,NA,1,0,1,NA
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Kings, IL",1,NA,165000,NA,39,NA,1,NA,1,NA,1,NA
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Sumner, IL",1,NA,66000,NA,35,NA,1,NA,2,NA,1,NA
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"La Rose, IL",1,NA,55000,NA,35,NA,1,NA,1,NA,NA,NA
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Cameron, IL",1,0,7500,-94.34,212,15300,1,NA,2,100,2,100
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"West City, IL",1,NA,17500,NA,0,NA,1,0,2,0,NA,NA
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Owaneco, IL",1,NA,80000,NA,16,NA,1,NA,1,0,NA,NA
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Karnak, IL",1,0,82000,215.38,143,14300,1,-50,1,-50,NA,NA
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"New Milford, IL",1,0,365000,48.98,145,13700,1,0,2,100,2,100
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Edgewood, IL",1,NA,127000,NA,21,NA,1,NA,1,-50,1,0
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Seaton, IL",1,NA,75000,NA,83,NA,1,0,3,50,2,NA
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"St. Rose, IL",1,0,230000,39.39,91,NA,1,0,2,100,NA,NA
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Dieterich, IL",1,NA,180000,NA,55,NA,1,NA,3,NA,NA,NA
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Neoga, IL",1,-50,164200,32.69,59,2200,1,-50,2,-50,1,-50
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Franklin, IL",1,0,80000,-27.27,32,-4200,1,-66.67,2,-60,1,0
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Tonica, IL",1,-50,200000,241.88,57,1400,1,0,3,50,2,0
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Watson, IL",1,0,111087,-38.32,32,3100,1,NA,1,-50,1,NA
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Swedona, IL",1,NA,55000,NA,129,NA,1,0,2,100,1,NA
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Argyle, IL",1,0,365000,82.59,4,-11200,1,NA,1,0,1,0
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Dakota, IL",1,0,139900,-28.26,9,400,1,0,1,0,1,0
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Buncombe, IL",1,NA,56300,NA,213,NA,1,NA,2,100,1,NA
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Dowell, IL",1,NA,17000,NA,101,NA,1,0,3,50,NA,NA
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"East Gillespie, IL",1,-50,160000,62.03,0,-7350,1,0,1,-50,1,-50
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Livingston, IL",1,-66.67,120500,-3.6,119,4800,1,0,3,-25,1,-66.67
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Dana, IL",1,NA,156000,NA,84,NA,1,NA,2,NA,2,NA
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Arenzville, IL",1,NA,169900,NA,18,NA,1,NA,1,NA,1,NA
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Beckemeyer, IL",1,NA,182500,NA,0,NA,1,0,1,0,1,0
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Donovan, IL",1,NA,160000,NA,55,NA,1,NA,2,NA,NA,NA
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Teutopolis, IL",1,0,132500,-52.68,18,-15200,1,NA,1,-50,1,-50
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Pittsburg, IL",1,NA,135000,NA,17,NA,1,NA,3,NA,1,NA
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Ewing, IL",1,NA,206500,NA,130,NA,1,-66.67,3,0,NA,NA
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Chapin, IL",1,NA,36000,NA,45,NA,1,NA,3,NA,1,NA
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Evansville, IL",1,0,140000,100,109,-4300,1,NA,3,200,2,NA
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Cullom, IL",1,-66.67,200000,227.87,108,7800,1,0,3,0,NA,NA
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Lyndon, IL",1,NA,115000,NA,173,NA,1,0,3,50,2,100
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Bedford Park, IL",1,NA,260000,NA,105,NA,1,NA,4,NA,3,NA
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Kampsville, IL",1,-50,106500,79.9,1,-20100,1,NA,2,100,NA,NA
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Rock City, IL",1,0,48000,-26.15,5,-26800,1,NA,1,NA,1,NA
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Armington, IL",1,NA,38000,NA,39,NA,1,NA,2,NA,1,NA
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Park City, IL",1,0,341000,13.67,147,14100,1,0,4,300,2,100
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Mineral, IL",1,NA,60000,NA,28,NA,1,NA,1,0,1,NA
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Ashkum, IL",1,-66.67,115000,-64.06,25,-6800,1,-80,4,-50,1,-50
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Altona, IL",1,0,90000,221.43,73,5700,1,-50,1,-50,1,-50
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"St. Libory, IL",1,0,140000,-4.92,98,-6700,1,0,3,0,1,-50
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Hudson, IL",1,-75,256000,-7.91,28,-2150,1,-66.67,4,-20,2,-33.33
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Sherrard, IL",1,NA,45000,NA,56,NA,1,NA,2,NA,2,NA
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"New Haven, IL",1,NA,140000,NA,133,NA,1,NA,1,NA,NA,NA
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Holcomb, IL",1,NA,164508,NA,52,NA,1,NA,2,NA,2,NA
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"South Wilmington, IL",1,-50,210000,25.37,130,9450,1,-50,2,-33.33,NA,NA
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Lomax, IL",1,NA,55000,NA,80,NA,1,NA,3,NA,1,NA
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Wellington, IL",1,NA,121500,NA,238,NA,1,NA,3,50,2,NA
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Bull Valley, IL",1,-50,736000,4.4,8,-11650,1,-50,3,-50,NA,NA
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Trenton, IL",10,150,192000,-20.82,82,-2250,1,-75,13,44.44,7,40
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Newark, IL",2,100,307500,9.04,163,14200,1,-75,4,-33.33,2,-50
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Martinton, IL",2,100,99994,108.32,84,-42550,1,0,3,50,2,0
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Arcola, IL",2,100,38250,-79.32,66,1700,1,-50,5,25,1,0
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Farina, IL",2,100,106000,-23.47,134,-11900,1,-50,3,0,1,-50
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Mapleton, IL",2,0,172000,-35.94,96,1200,1,-66.67,2,-50,2,-50
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Braceville, IL",2,100,263000,7.35,74,250,1,-75,3,-62.5,1,-50
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Oakland, IL",2,0,151950,134.67,88,5050,1,-50,5,66.67,2,0
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Valier, IL",2,100,122500,132.67,201,16250,1,0,5,0,3,NA
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Clay City, IL",2,100,135750,5.23,142,2750,1,0,5,66.67,2,100
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Alexander, IL",2,NA,106000,NA,64,NA,1,0,3,200,2,NA
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Viola, IL",2,NA,171000,NA,245,NA,1,-75,4,-20,2,100
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Sorento, IL",2,100,75213,306.55,38,3450,1,0,3,0,2,0
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Chadwick, IL",2,100,143500,75,104,1550,1,0,3,-40,3,200
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Monroe Center, IL",2,0,211500,24.05,42,-2300,1,-50,2,0,2,0
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Dalzell, IL",2,0,266250,100.94,116,7550,1,0,3,50,2,100
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Wenona, IL",2,0,264750,37.53,122,4450,1,0,4,0,3,0
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Beardstown, IL",2,100,115000,-11.54,226,6750,1,0,2,-33.33,2,100
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Chebanse, IL",2,100,150000,-23.09,47,900,1,-83.33,4,-42.86,4,300
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Galatia, IL",2,0,71325,85.26,104,-3950,1,-66.67,2,-60,2,0
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Loami, IL",2,NA,139950,NA,21,NA,1,NA,2,NA,NA,NA
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Sheldon, IL",2,0,47500,-50.65,42,2200,1,-50,5,-37.5,2,-33.33
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Belle Rive, IL",2,NA,109500,NA,47,NA,1,NA,2,100,2,NA
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Millington, IL",2,0,268750,-2.63,116,8450,1,0,3,50,2,100
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Rest Haven, IL",2,100,299000,96.71,57,5050,1,NA,3,50,2,0
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Brimfield, IL",2,100,194750,0.39,17,-750,1,0,2,100,2,100
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Clifton, IL",2,100,182901,-27.42,88,3550,1,-75,4,-33.33,2,-60
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Forreston, IL",2,100,185050,27.62,250,21150,1,-66.67,3,-70,1,-80
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Lostant, IL",2,NA,210500,NA,75,NA,1,NA,3,NA,2,NA
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Oakwood, IL",2,100,106500,93.64,60,-13200,1,-50,2,0,2,0
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Andover, IL",2,NA,287000,NA,62,NA,1,-50,3,50,3,NA
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Sublette, IL",2,100,163500,-31.56,101,9350,1,-50,4,100,4,100
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Franklin Grove, IL",2,NA,202450,NA,63,NA,1,-50,3,50,1,0
